id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-1203354,2016-06-23,2,Vente,3100.0,,,LE PRIEURE,B022,95000.0,95074,Boisemont,95,,,950740000A0558,,,,,,,,,,,,,0,,,,,S,sols,,,96.0,2.000901,49.023909
2017-1140739,2017-05-30,1,Vente,100000.0,12.0,,RUE DES TISSERANDS,0350,81800.0,81220,Rabastens,81,,,812200000F0901,,,,,,,,,,,,,0,1.0,Maison,81.0,3.0,S,sols,,,91.0,1.7266,43.822678
2017-870932,2017-07-06,1,Vente,176200.0,46.0,,RUE DE THEROUANNE,1680,62500.0,62765,Saint-Omer,62,,,62765000AV0229,,,,,,,,,,,,,0,1.0,Maison,185.0,6.0,S,sols,,,223.0,2.264436,50.748282
2016-885548,2016-06-02,1,Vente,180000.0,5324.0,,RES LA NEUVA,A083,73270.0,73034,Beaufort,73,,,730340000I3217,,,34,40.09,,,,,,,,,1,2.0,Appartement,39.0,2.0,,,,,,6.571346,45.68517
2016-1201902,2016-04-14,1,Vente,13900.0,59.0,,AV ROGER GUICHARD,0443,95610.0,95218,Éragny,95,,,95218000AE0057,,,433.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.099404,49.031375
2017-232630,2017-08-04,1,Vente terrain à bâtir,73000.0,,,EN CHILLOUX,B007,21800.0,21452,Neuilly-lès-Dijon,21,,,21452000AK0473,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,360.0,5.117481,47.278654
2017-898187,2017-01-30,1,Vente,400000.0,5349.0,,CASTANCHE,B017,64200.0,64100,Bassussarry,64,,,64100000AM0016,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,P,prés,,,8500.0,-1.483582,43.453071
2017-710156,2017-07-17,1,Vente,110000.0,,,LE PASSOUS,B545,50230.0,50003,Agon-Coutainville,50,,,50003000AK0642,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,423.0,-1.595093,49.036973
2017-1227715,2017-04-21,1,Vente,209900.0,46.0,,RUE DES ROSES,0098,86220.0,86183,Les Ormes,86,,,86183000ZB0193,,,,,,,,,,,,,0,,,,,J,jardins,,,597.0,0.617389,46.984712
2017-485526,2017-08-11,1,Vente,90000.0,9.0,,RUE HORTS ET PRATS,0617,34600.0,34028,Bédarieux,34,,,34028000AV0410,,,101.0,79.62,79.0,,,,,,,,2,2.0,Appartement,77.0,4.0,,,,,,3.156286,43.611667
2016-438194,2016-11-18,1,Vente,384763.5,,,PLANCHE FAGLINE,C195,35740.0,35210,Pacé,35,,,35210000AX0123,,,,,,,,,,,,,0,,,,,S,sols,,,11.0,-1.761307,48.142968
2017-880223,2017-11-03,1,Vente,114490.0,,,PLAUZAT,B059,63730.0,63282,Plauzat,63,,,63282000AB0390,,,,,,,,,,,,,0,,,,,S,sols,,,25.0,3.14939,45.621131
2016-189801,2016-08-10,1,Vente,150000.0,272.0,,LE BOURG,B012,17150.0,17052,Boisredon,17,,,17052000AL0042,,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,S,sols,,,620.0,-0.538748,45.314741
2017-418569,2017-05-19,1,Vente en l'état futur d'achèvement,320000.0,365.0,,AV ARISTIDE BRIAND,0190,33700.0,33281,Mérignac,33,,,33281000DR0398,,,21.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,-0.656707,44.82336
2016-1174393,2016-06-20,1,Vente,322000.0,31.0,,ALL DU PLATEAU,0740,93340.0,93062,Le Raincy,93,,,93062000AC0163,,,77.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.528133,48.901232
2016-390262,2016-11-30,1,Vente,750000.0,54.0,,RUE DES VIVANTS,9450,33100.0,33063,Bordeaux,33,,,33063000AE0007,,,,,,,,,,,,,0,2.0,Appartement,20.0,1.0,S,sols,,,208.0,-0.542285,44.852916
2017-422234,2017-09-04,1,Vente,180000.0,44.0,,AV DES EYQUEMS,0899,33700.0,33281,Mérignac,33,,,33281000CP0009,,,111.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,-0.618719,44.82739
2016-24832,2016-12-07,1,Vente,80000.0,15.0,,ALL DES AILES,0030,3200.0,3310,Vichy,3,,,03310000BE0004,,,14,,8,,,,,,,,2,2.0,Appartement,66.0,4.0,,,,,,3.415296,46.137039
2016-943127,2016-09-30,1,Vente,197999.0,354.0,,AV DE LA REINE BLANCHE,0745,77820.0,77100,Le Châtelet-en-Brie,77,,,77100000AK0001,,,354.0,88.87,,,,,,,,,1,1.0,Maison,77.0,4.0,,,,,,2.780087,48.509078
2017-455418,2017-04-18,1,Vente,117000.0,,,LOU PLAN DE LAS AIRES,B046,34130.0,34176,Mudaison,34,,,34176000AM0352,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,300.0,4.039226,43.641311
2017-859119,2017-07-04,1,Vente,156500.0,,,LE VILLAGE NORD,B052,62141.0,62321,Évin-Malmaison,62,,,62321000AD0899,,,,,,,,,,,,,0,,,,,P,prés,,,1602.0,3.033612,50.440583
2016-1129815,2016-08-26,1,Vente,458050.0,104.0,,RUE ST JEAN DE BEAUREGARD,0860,91940.0,91275,Gometz-le-Châtel,91,,,91275000AE0062,,,,,,,,,,,,,0,4.0,Local industriel. commercial ou assimilé,10.0,0.0,S,sols,,,500.0,2.14096,48.6741
2016-443246,2016-10-06,2,Vente,80000.0,29.0,,LA HAUTE TOUCHE,B528,35250.0,35296,Saint-Médard-sur-Ille,35,,,352960000A0653,,,,,,,,,,,,,0,1.0,Maison,85.0,4.0,S,sols,,,451.0,-1.679581,48.276253
2016-229438,2016-11-03,2,Vente,14430.0,,,LE CLOS DU MITAN,B058,22600.0,22376,Trévé,22,,,22376000ZK0305,,,,,,,,,,,,,0,,,,,T,terres,,,15190.0,-2.792949,48.221452
2017-1072774,2017-06-07,1,Vente,8274.0,,,LES GDS ESSARTS,B115,77510.0,77406,Saint-Denis-lès-Rebais,77,,,77406000ZA0026,,,,,,,,,,,,,0,,,,,T,terres,,,13790.0,3.169779,48.843087
2017-1361354,2017-07-20,1,Vente,34000.0,19.0,,RUE ALLARD,0035,94160.0,94067,Saint-Mandé,94,,,940670000G0169,,,48.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,2.415257,48.840414
2017-55910,2017-10-12,1,Vente,2631600.0,6.0,,ALL DES  CYPRES,0214,6230.0,6159,Villefranche-sur-Mer,6,,,06159000AL0173,,,,,,,,,,,,,0,1.0,Maison,300.0,8.0,AG,terrains d'agrément,,,1700.0,7.311215,43.713436
2016-65921,2016-08-29,1,Vente,225000.0,341.0,E,AV DES FILAGNES,0330,6700.0,6123,Saint-Laurent-du-Var,6,,,06123000BC0045,,,73.0,53.43,,,,,,,,,1,2.0,Appartement,53.0,2.0,,,,,,7.183804,43.678917
2016-635908,2016-10-21,1,Vente,15959.0,,,LE CHEMIN DE SAINT THIERRY,B022,51220.0,51183,Courcy,51,,,51183000ZL0007,,,,,,,,,,,,,0,,,,,T,terres,,,1520.0,3.979647,49.317273
